title	tag
The club is open to all. There is no required skill level or mastery of any art form required, we will explore, learn and express together showing off your creativity giving all an equal chance to leave a lasting memory in your minds and the institute. Selection for core teams is open to all members except college freshmen and is done on the basis of their performance and involvement with the club in the previous year. For more info visit https://wiki.iitmandi.co.in/p/Art_Geeks	mandi
The Research Society at IIT Mandi comprises of SCRI,IEEE,ACM,ACM-W.	mandi
Society for Collaborative Research and Innovation (SCRI) is a platform to provide good opportunities for students of any field or Discipline and it gives exposures to Interdisciplinary Research areas. For more info visit https://wiki.iitmandi.co.in/p/SCRI	mandi
The Institute of Electrical and Electronics Engineers, or IEEE, is a technical professional organisation. While it has electrical and electronics engineering at its core, it’s composed of engineers, scientists and other professionals, who have interests in electrical and computer sciences, engineering, and varied, but related disciplines. It’s dedicated to fostering technological innovation and excellence for the benefit of humanity. It does so by sponsoring conferences, publishing transactions, journals, and magazines, developing standards, and through its educational programs. It’s the largest professional association in the world. For more info visit https://wiki.iitmandi.co.in/p/IEEE	mandi
The Student Chapter of the Association for Computing Machinery (ACM) is a supportive community where computing helps solve tomorrow’s problems – where we use our knowledge and skills to advance the profession and make a positive impact.For more info visit https://wiki.iitmandi.co.in/p/ACM	mandi
The student chapter of Association for Computing Machinery for Women (ACM-W) is one of the most recently started clubs of IIT Mandi. It has been officially established at IIT Mandi in 2020 and we are now a part of ACM-W's global community which supports, celebrates and advocates for women in computing. For more info visit https://wiki.iitmandi.co.in/p/ACM-W	mandi
The Academic Society comprises of UG Academic Council and the Senate.	mandi
The UG Academic Council is an informal academic body, which accounts for the smooth communication between the Academic Affairs Secretary and other students. Though not a formal body, together with the Academic Affairs Secretary they are on a path of making Academics at IIT Mandi more and more glorious. Currently the Council is an informal one, and the Academic Affairs Secretary is working towards formalizing this concept.	mandi
The Senate is the topmost decision making body of the institute, having student representatives as a few of its members. All the important decisions concerning the institute's academic matters are implemented only after the approval of the Senate. The Director of the institute acts as the ex-officio Chairman of the Senate. The student members in the Senate are the Academic Affairs Secretary, the General Secretary and the Research Secretary.	mandi
Physical education and sports section, IIT Mandi, coordinates all the sports activities and gives special attention to interested students by providing them with well-experienced coaches and adequate facilities. Players are trained very systematically by well-trained coaches and are encouraged to participate in various inter-college and intra-college tournaments, the most significant one being the annual students' Inter-IIT Sports Meet.Sports society is run by a number of students alongside the faculty and staff members. The student sports council is led by the Sports Secretary of Student Gymkhana. It comprises men/women Game coordinators for respective games, men/women Overall coordinators for UG and PG, and Web and Content coordinators. Staff and faculty members of the sports society comprise groundsmen, sports office employees, game coaches, physical training instructor, principal sports officer, sports co-advisor, and sports advisor. The 11 major games which are a part of the sports society are Athletics, Badminton, Basketball, Chess, Cricket, Football, Hockey, Lawn Tennis, Table Tennis, Volleyball, and Weight Lifting. The Mountain Biking Club is a part of the Sports Society.	mandi
IITMandi offers Bachelor of Technology in Civil Engineering, Computer Science & Engineering, Electrical Engineering, Mechanical Engineering, Engineering Physics, Data Science and Engineering and B.Tech-M.Tech Integrated Dual Degree in Bioengineering.	mandi
There are a variety of scholarships offered to students by IIT Mandi.	mandi
Please refer to http://iitmandi.ac.in/academics/scholarship.php for institute offering scholarships, and for government offered scholarships, refer to http://scholarship.gov.in.	mandi
All SC/ST students are exempted from payment of tuition fees in accordance with the rules framed by the Government of India.	mandi
All female students in the first year of B.Tech will get a complete tuition fee waiver and a scholarship of Rs.1000 per month for 10 months.	mandi
IIT Mandi offers scholarships to economically backward General and OBC students.	mandi
There is a full waiver in tuition fee for students with family income less than Rs.1,00,000 per annum and there is a 2/3rd remission for students with family income more than Rs.1,00,000 and less than Rs.5,00,000 per annum.	mandi
To avail General/OBC scholarship, a student must submit valid family income certificate along with notarized Affidavit.	mandi
Affidavit is available at https://www.iitmandi.ac.in/hn/academics/files/scholarships/affidavit.pdf.	mandi
Fees can be paid at http://iitmandi.ac.in/academics/fees.php.	mandi
Each academic session is divided into two regular semesters: an Odd Semester (normally August-November) and an Even Semester (normally February-June).	mandi
There are two vacation semesters (Winter & Summer) and follows a Senate approved schedule of academic activities.	mandi
The duration of the B.Tech. program will be minimum 8 semesters and maximum 12 semesters.	mandi
B.Tech (Honours) is awarded to student who successfully complete 172 (160+12 Extra)  credits in their B.Tech programme.	mandi
One can opt for B.Tech. (Honours) at the end of the fourth or fifth semester of B.Tech. program.	mandi
Minimum required credits for any branch of B.Tech programme is 160.	mandi
Minimum credits required for Honours in B.Tech is 172.	mandi
L-T-P-C is the credit system defined for each course.	mandi
The numbers corresponding to L, T and P denote the contact hours per week for Lecture, Tutorial and Practical/Practicum respectively, and that of C denotes the total number of credits for that course in a semester.	mandi
A faculty member will be assigned to students branch-wise to help the students in planning their courses of study and for getting general advice on the academic program.	mandi
Class Committee is a body consisting of faculty and students to monitor the conduct and progress of a set of courses in a semester.	mandi
IIT Mandi offers a very liberal branch change policy.	mandi
Students with at least 8.0 CGPA are eligible for branch change subject to the condition that strength of any branch shall not change by more than 50percent and strength of any branch shall not fall below 20.	mandi
Branch change applications are considered strictly on basis of merit established by CGPA.	mandi
Ragging is strictly prohibited in our institute, for more information regarding anti-ragging regulations please refer to http://students.iitmandi.ac.in/files/ugc_anti-ragging_regulations.pdf.	mandi
Fortunately, no ragging practice has been reported in the history of our institute.	mandi
Generally, the minimum attendance requirement of a course is 70%.	mandi
Assessment procedures vary from subject to subject which is decided by the course instructor and the same informed to the student after first CCM.	mandi
Our institute has a letter grading system.	mandi
Grade point values of O, A, B, C, D, E and F are 10, 9, 8, 7, 6, 4 and 0 respectively.	mandi
I grade stands for INCOMPLETE, which changes into some letter grade in the first month of subsequent regular semester.	mandi
Academic office communicate results through E-mail or OAS portal.	mandi
SGPA indicates student’s performance in any particular semester whereas CGPA indicates cumulative performance upto any time in the course of a student's programme.	mandi
A minor is intended for a student to gain expertise in an area outside his/her major B.Tech. discipline.	mandi
A student is allowed to take any number of Minors.	mandi
Semester exchange offered by IIT Mandi allows students to take one or two semester(s) from the institutions with whom IIT Mandi has an MoU for such visits.	mandi
Semester exchange limits to condition that visit will not be allowed during the final (normally eighth) semester and some of the signature courses of IIT Mandi such as Reverse Engineering, Design Practicum, ISTP, and any others( that are notified from time to time) must be completed at IIT Mandi.	mandi
The students are required to do an industrial internship in India for a minimum period of 6 weeks, during the winter vacation following the 5th semester or any subsequent vacation before the final semester and the internship must be done in a technology oriented public/private sector company/industry or in reputed research organizations, such as CSIR, DRDO or BARC.	mandi
Courses remain same for every branch for the first year which include Electrical systems around us, Computing and Data Science, Mathematics, Reverse Engineering, Graphics for Design, English, German, Applied electronics, Engineering Thermodynamics, etc .	mandi
How many branches are there in IIT Mandi?	mandi
Are there any scholarships offered by IIT Mandi?	mandi
Where can I find information about scholarships offered by the institute?	mandi
Is there any scholarship available for SC/ST students?	mandi
Is there any scholarship offered to Girl students?	mandi
Does the institute offer scholarships to OBC/General students?	mandi
What is the criteria of scholarship for General and OBC students?	mandi
Which documents are required for the General/OBC scholarship?	mandi
Where can I find the affidavit?	mandi
Where do I pay my fee?	mandi
How many semesters are there at IIT Mandi?	mandi
Are there any vacations?	mandi
What is the duration of B.Tech programme?	mandi
What is B.Tech (Honours)?	mandi
When can I opt for B.Tech(Honours)?	mandi
How many credits are there in B.Tech programmes?	mandi
How many credits are required for Honours?	mandi
What is L-T-P-C?	mandi
What does L-T-P-C mean?	mandi
What is Faculty advisor?	mandi
What is the class committee?	mandi
Is there any branch policy?	mandi
What is eligibility for branch change?	mandi
What is the criteria for branch change?	mandi
What are measures taken against ragging by the institute?	mandi
Is there any ragging case reported in the past?	mandi
What is the minimum requirement of attendance?	mandi
What is the exam pattern for each subject?	mandi
What is the grading system at IIT Mandi?	mandi
What are grade point values of each letter grade?	mandi
What is I grade?	mandi
Where is the result announced?	mandi
What is the difference between SGPA and CGPA?	mandi
What is Minor?	mandi
How many minors can I take?	mandi
What is semester exchange?	mandi
Are there any conditions on taking semester exchange?	mandi
Give some information about the internship.	mandi
Which courses will be taught in first year?	mandi
IITMandi offers Bachelor of Technology in the following branches:	mandi
Civil Engineering	mandi
Computer Science & Engineering	mandi
Electrical Engineering	mandi
Mechanical Engineering	mandi
Engineering Physics	mandi
Data Science and Engineering	mandi
In addition, IIT Mandi offers a B.Tech-M.Tech integrated Dual Degree programme as follows:B.Tech-M.Tech Integrated Dual Degree in Bioengineering	mandi
There are a variety of scholarships offered to students by IIT Mandi. Please refer to the following link to know more: http://iitmandi.ac.in/academics/scholarship.php. To know more about government offered scholarships please refer to http://scholarship.gov.in.	mandi
All SC/ST students are exempted from payment of tuition fees. The award of scholarships and other benefits will be in accordance with the rules framed or amended by the Government of India from time to time.	mandi
All girls candidates(irrespective of category) are exempted from tuition fees. All female students in the first year of B.Tech will get a complete tuition fee waiver and a scholarship of Rs. 1000/- per month for 10 months, and from second year onwards all female students with CGPA (last two semesters) more than 7 out of 10 would get the scholarship.	mandi
IIT Mandi offers scholarships to economically backward General and OBC students. There is a full waiver in tuition fee for students with family income less than Rs 1,00,000/- per annum. There is a 2/3rd remission for students with family income more than Rs. 1,00,000/- and less than Rs. 5,00,000/- per annum. To avail General/OBC scholarship, a student must submit valid family income certificate along with notarized Affidavit. Affidavit is available at https://www.iitmandi.ac.in/hn/academics/files/scholarships/affidavit.pdf	mandi
Fees can be paid at http://iitmandi.ac.in/academics/fees.php.	mandi
Each academic session is divided into two regular semesters: an Odd Semester (normally August-November) and an Even Semester (normally February-June).  There are two vacation semesters (Winter & Summer) and follows a Senate approved schedule of academic activities.	mandi
The duration of the B.Tech. program will be minimum 8 semesters and maximum 12 semesters.	mandi
A student can opt for B.Tech. (Honours) at the end of the fourth or fifth semester of B.Tech. program subject to the conditions prescribed by the Senate from time to time.	mandi
The curriculum of any branch of the B.Tech. program is designed to have a minimum credit requirement of 160 credits. For B.Tech. (Honours), the minimum credit requirement is 172 credits. A student has to register for a minimum of 12 credits and upto a maximum of 22 credits in a regular semester.	mandi
Definition of Credit System. For theory courses and tutorials, one credit indicates an effort of 50 minutes (1 contact-hour) per working week (14 contact-hours per semester).	mandi
For laboratory courses, practicals and practicums, the credit distribution is as follows: 1-2 hour lab session per week - 1 credit, 3-4 hour lab session per week - 2 credits, 5-6 hour lab session per week - 3 credits, 7-8 hour lab session per week - 4 credits.	mandi
L-T-P-C Notation L-T-P-C => Lecture – Tutorial – Practicum/Practicals – Credits Credit structure of each course is given in L-T-P-C form (e.g. 2–1–0–3). The numbers corresponding to L, T and P denote the contact hours per week for Lecture, Tutorial and Practical/Practicum respectively, and that of C denotes the total number of credits for that course in a semester.	mandi
To help the students in planning their courses of study and for getting general advice on the academic program, the concerned School will assign students branch-wise to a faculty member who will be called their Faculty Adviser. Generally, a Faculty Adviser shall have responsibility for a particular batch of students from their first year until graduation.	mandi
The Class Committee is a body consisting of faculty and students to monitor the conduct and progress of a set of courses in a semester. There will be one Class Committee for each set of courses being offered in a semester. The constitution of the Class Committee will be as follows: One faculty member as the Chair who is not associated with the teaching activities of the courses listed under that Class Committee, instructors of the courses listed under that Class Committee and 1 or 2 student representatives for each course. The Class Committee shall meet at least thrice in a regular semester.	mandi
To be considered for a branch change, the student will have to submit an application before the end of the second semester of his/her program. The applicant will have to specify the choices, in order of preference, of the branch or branches that he/she seeks a change to. The decision on the student’s application of branch change will be made only after the grades of the second semester are received and the CGPA at the end of the second semester will be the relevant CGPA.	mandi
In granting the change of branch of a student, the strength of a class shall not fall below the sanctioned strength by more than 50% and shall not exceed the sanctioned strength by more than 50% and also, the strength of any branch shall not be allowed to fall below a minimum strength of 20 students because of the branch change. The top-ranking student of each discipline may be awarded a branch change if he/she has a CGPA of at least 8.0. An eligible applicant who has secured a CGPA of 10.0 shall be allowed a change of branch of his/her choice without any constraint. Branch change applications will be considered strictly in order of merit as established by the CGPA. In truly exceptional cases, the Senate may also grant a change of branch to a student who is in distress in his/her present branch.	mandi
Ragging of any dimension is a criminal and non-bailable offence in our country. The current State and Central legislations provide for stringent punishment, including imprisonment. Once the involvement of a student is established in ragging, the offending student will be dismissed from the institute and will not be readmitted. Every student of the institute, along with his/her parents, shall give an undertaking regarding ragging at the time of admission.	mandi
Generally, the minimum attendance requirement of a course is 70%.	mandi
The system of assessment procedure may vary from course to course. However, the general practice of tests and examination consist the following components: Mid-term tests: in lecture based courses, generally two quiz tests of approximately 50 minute duration shall be held, End-semester examination: there shall be one end-semester examination, generally of three hours duration, in each lecture based course.	mandi
The details of the weightage of marks for various components of the assessment procedure have to be announced and recorded in the first Class Committee meeting.	mandi
The performance of a student in a course is denoted by a letter grade.	mandi
Grade O has a grade point value of 10. Grade A has a grade point value of 9. B has a grade point value of 8. C has a grade point value of 7. D has a grade point value of 6. E has a grade point value of 4. F has a grade point value of 0 Fail. Grade I means Incomplete; subsequently be changed into a letter grade in the first month of subsequent regular semester.	mandi
After finalization by the Class Committee, the course instructor will submit the letter-grades awarded to the students in a course to the academic office in prescribed format. The academic office will compile all the results and announce the same to the students through E-mail or through the OAS portal of the institute.	mandi
The performance of a student in a semester is indicated by SGPA, which is a weighted average of the grades in all the courses done by the student in the given semester.	mandi
The performance up to any time in the course of the student’s program is indicated by the student’s CGPA.	mandi
A minor is intended for a student to gain expertise in an area outside his/her major B.Tech. discipline. A student is allowed to take any number of Minors, but a particular course cannot be counted for more than 1 Minors.	mandi
Selected students can go on exchange visits for one or two semesters. If the student goes on semester exchange visits for two semesters, these two semesters can be contiguous. No student exchange visit will be allowed during the final (normally eighth) semester. Some of the signature courses of IIT Mandi (Reverse Engineering, Design Practicum, ISTP, and any others that are notified from time to time) must be completed at IIT Mandi. This is so as to preserve the character of IIT Mandi B.Tech. degree. The semester exchange programs can only be undertaken with those institutes with whom IIT Mandi has an MoU for such visits. Credits and grades earned during semester exchange visits will be converted to IIT Mandi equivalent credits and grades as per the Senate approved conversion criteria in each case.	mandi
As part of the B.Tech. curriculum, the students are required to do an industrial internship in India for a minimum period of 6 weeks, during the winter vacation following the 5th semester or any subsequent vacation before the final semester. Only in exceptional situations and only with approval from the respective Faculty Adviser, a student will be allowed to do this internship at other time periods. The internship must be done in a technology oriented public/private sector company/industry or in reputed research organizations, such as CSIR, DRDO or BARC. Internships in IIT Mandi or other educational institutions will not be considered for this purpose.	mandi
PLACEMENTS STATISTICS OF IIT MANDI	mandi
IIt mandi completed its 2020 placements drive by hosting around 80 companies. Around 101 students were placed out of 147 eligible student. The remaining 46 students pursued to prepare for civil service examination while a few other went for higher studies or startup/business opportunities. Some of the renowned recuiters of final placements 2020 included HPCL, Microsoft, Amazon, Goldman Sachs, DE Shaw, Optum, Tonichi Insatsu, Robert Bosch, etc. The institute provides facilities and services in the form of training sessions and workshops to prepare students for the placement seasons. Some of the facilities conducted for students include resume making, communication skills, presentation skills, interviewing skills, problem solving skills, case workshops and mock placements tests.	mandi
A few significant highlights of IIT Mandi placements 2020 are listed below:	mandi
1. In 2020, 85% of the registered undergraduate students were placed.	mandi
2. Highest number of students placed were from CSE branch, BTec CSE yet again managed to fetch the maximum number of olacemennts from EEE	mandi
3. Recorded the highest number of offers (142) which were provided to 101 students.	mandi
4. There has been more than 50% increase in the average salary offered by companies compared to last year.	mandi
5. During the previous year's (2018-2019) placement drive, the highest CTC stood at Rs 40 LPA and the average CTC stood at Rs 13.4 LPA	mandi
6. Companies that offered PPOs during 2019-20 was 13 compared to 10 in 2018-19	mandi
7. Mircosoft emerged as the star recuriter by providing over 11 placements offers for 2020 placements.	mandi
IIT Mandi Placements 2020 Vs 2019	mandi
IIT Mandi Placements 2020: Branch wise trends	mandi
A total of 57 students were placed from  the CSE branch, followed by EE and ME branches. The lowest	mandi
no. of students placed were from CE branch.	mandi
Placement statistics of 2019-20(B. Tech)	mandi
Placements rate:	mandi
The highest share of 2020 placement went to computer science and engineering with 98.28% of students placed followed	mandi
by , Electrical Engineering, Mechanical Engineering and Civil Engineering. In 2019, the institute had a placement record of 81% whereas in 2020 85% of students were recruited during campus placement.	mandi
IIT Mandi Placements 2020: Top Companies	mandi
The placements drive for 2020 included startups such as OLX People , Signalchip Innovation Pvt Ltd, Sigmoid, Agnext Technologies Pvt Ltd, Toppr, etc.	mandi
Some of the top companies that showed their participation in this year's final placements include:	mandi
HPCL, Microsoft, Amazon, CodeNation, Goldman Sachs, DE Shaw, Service Now, Codenation, Razopay, Oyo Rooms, Publicis Sapients, BOSCH, Tonichi Insatsu, SMS Data Tech, Works Appliction, GMO Research, Vehant, Samsung Delhi, TCS, LTI, Byju's Sigmoid, Mathworks, Internet Academy, IBM India, Truring, eClerx, Marvel Semiconductors, OLX, Decision point, HSBC technology and L&T.	mandi
Begining with the first batch that graduated in 2013, the profile of the companies visiting the campus for internships and placements and packages offered have been continuously improving.	mandi
IIT Mandi Alumni Placements	mandi
IIt mandi has a wide alumni network working across multiple sectors. As per the available data approximately 163 alumni of IIT Mandi are currently associated with the Educational sector, closely followed by 122 alumni recruited in the Research sector. A good no. of former students are also working in the domain of operations and Engineering.	mandi
How many job offers were made in the recent placement drive at IIT Mandi?	mandi
What is the highest CTC of IIT Mandi?	mandi
Who are the top recuiters of IIT Mandi?	mandi
Which sector has the highest rate of placements at IIT Mandi?	mandi
How many PPOs did students bag at IIT Mandi?	mandi
What are the facilities offered by IIT Mandi for placements?	mandi
Who are the first time recruiters at IIT Mandi Placement drive?	mandi
How many international offers were made at IIT Mandi placement drive?	mandi
What is branch wise trend in terms of placements?	mandi
How many students were placed out of eligible students?	mandi
Which company was the star recuriter in 2020?	mandi
What is the placements rate of IIT Mandi?	mandi
What is the average package of CSE at IIT Mandi?	mandi
